IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
103.21.244.140,4,4,0.00,189.66,16.96,SJC
141.101.113.108,4,4,0.00,190.38,15.04,FRA
190.93.244.164,4,4,0.00,189.60,13.97,SJC
188.114.96.175,4,4,0.00,210.10,12.08,AMS
141.101.114.61,4,4,0.00,189.25,11.80,SJC
141.101.123.126,4,4,0.00,189.29,11.51,SJC
141.101.122.246,4,4,0.00,189.48,11.00,SJC
190.93.246.112,4,4,0.00,189.49,9.59,SJC
190.93.247.107,4,4,0.00,189.39,8.73,SJC
108.162.198.210,4,4,0.00,89.77,5.33,NRT
